G1,G2,studytime,failures,absences,internet,higher,risk_score,risk_level
13,12,1,0,2,1,1,1,Low
15,13,1,0,12,1,1,2,Low
9,9,1,0,4,0,1,6,High
13,11,1,1,12,0,1,5,Medium
12,11,2,0,2,0,1,1,Low
13,14,3,0,4,1,1,0,Low
10,9,2,0,2,0,1,3,Medium
14,13,2,0,0,0,1,1,Low
11,11,1,0,2,1,1,1,Low
12,11,3,0,10,1,1,0,Low
12,11,1,0,8,0,1,2,Low
9,9,1,0,4,1,1,5,Medium
10,10,2,2,0,0,1,3,Medium
13,14,1,0,6,1,1,1,Low
8,9,1,1,2,1,1,7,High
9,11,4,0,6,1,1,2,Low
9,8,2,0,24,0,1,6,High
15,13,3,0,0,1,1,0,Low
12,11,1,0,4,1,1,1,Low
13,13,3,0,2,1,1,0,Low
10,11,1,0,4,1,1,1,Low
9,7,1,0,22,1,1,6,High
12,12,2,0,0,1,1,0,Low
11,10,1,0,0,1,0,2,Low
11,11,2,1,2,1,1,2,Low
13,12,2,0,6,1,1,0,Low
11,11,2,0,6,0,1,1,Low
9,9,1,0,16,1,0,7,High
12,11,1,0,0,1,1,1,Low
11,9,1,2,0,1,0,6,High
9,10,1,1,6,0,1,6,High
13,13,3,0,2,1,1,0,Low
11,9,1,0,6,1,0,4,Medium
13,13,1,0,0,0,1,2,Low
7,8,2,0,0,0,1,5,Medium
9,8,1,3,14,0,1,9,High
11,10,1,3,6,0,1,4,Medium
12,10,1,0,4,0,1,2,Low
10,10,2,1,0,1,1,2,Low
9,8,1,2,0,1,1,7,High
8,8,1,1,8,1,0,8,High
7,6,2,2,4,1,1,6,High
8,9,1,0,2,0,1,6,High
9,8,1,1,2,1,0,8,High
8,8,2,0,0,0,0,6,High
8,7,1,3,10,0,0,9,High
9,10,2,0,0,1,0,3,Medium
17,17,2,0,0,1,1,0,Low
12,12,2,0,0,1,1,0,Low
16,16,2,0,0,1,1,0,Low
9,9,1,1,4,1,1,7,High
16,17,2,0,0,1,1,0,Low
11,9,2,0,0,1,1,2,Low
14,13,2,0,0,1,1,0,Low
14,14,2,0,0,1,1,0,Low
10,11,2,0,0,1,1,0,Low
13,12,2,0,0,1,1,0,Low
11,9,2,0,4,1,1,2,Low
10,9,1,0,8,1,1,3,Medium
11,11,2,0,4,1,1,0,Low
11,10,2,0,4,1,1,0,Low
11,12,2,0,0,1,1,0,Low
17,18,2,0,0,0,1,1,Low
14,13,2,0,32,1,1,1,Low
14,15,2,0,8,1,1,0,Low
11,13,2,0,6,1,1,0,Low
10,9,1,0,0,1,1,3,Medium
13,14,2,0,0,1,1,0,Low
12,13,2,0,10,1,1,0,Low
9,9,2,0,6,0,1,5,Medium
12,12,2,0,6,1,1,0,Low
12,11,2,0,0,1,1,0,Low
10,11,2,0,16,1,1,1,Low
11,10,1,0,0,1,1,1,Low
13,12,1,0,0,1,1,1,Low
14,15,2,0,8,1,1,0,Low
13,13,1,0,4,1,1,1,Low
10,11,1,0,16,1,1,2,Low
14,15,1,1,30,1,1,4,Medium
11,10,2,0,0,1,1,0,Low
14,14,2,0,2,1,1,0,Low
11,12,2,0,4,0,1,1,Low
14,15,2,0,0,0,1,1,Low
13,13,1,0,21,1,1,2,Low
13,13,4,0,6,1,1,0,Low
8,9,3,1,14,1,1,7,High
11,11,2,0,2,1,1,0,Low
14,15,2,0,4,1,1,0,Low
12,13,1,0,2,0,1,2,Low
11,12,3,0,0,1,1,0,Low
12,12,4,0,4,1,1,0,Low
13,12,2,0,15,1,1,1,Low
13,13,2,0,0,1,1,0,Low
12,11,2,0,10,1,1,0,Low
12,11,1,0,6,0,1,2,Low
14,16,2,0,2,1,1,0,Low
11,9,2,0,16,1,1,3,Medium
10,10,2,0,10,1,1,0,Low
12,13,1,0,4,0,1,2,Low
12,12,3,0,0,1,1,0,Low
11,10,2,0,0,1,1,0,Low
12,12,3,0,12,0,1,2,Low
13,13,2,0,0,1,1,0,Low
10,9,2,3,9,1,1,4,Medium
15,16,3,0,4,1,1,0,Low
8,8,2,0,4,1,1,4,Medium
17,18,2,0,2,1,1,0,Low
10,11,2,0,0,1,1,0,Low
9,10,2,0,2,1,1,2,Low
15,15,3,0,0,1,1,0,Low
14,12,2,0,0,1,1,0,Low
12,13,2,0,0,1,1,0,Low
13,13,2,0,0,1,1,0,Low
13,13,2,0,0,1,1,0,Low
9,9,2,0,2,1,1,4,Medium
12,12,3,0,0,1,1,0,Low
16,16,2,0,0,1,1,0,Low
9,10,1,0,4,1,1,3,Medium
14,13,2,0,0,1,1,0,Low
10,10,2,1,18,1,1,3,Medium
9,8,2,1,16,1,1,7,High
8,7,1,1,14,1,0,9,High
7,8,1,1,26,1,0,9,High
10,8,1,0,6,1,1,3,Medium
14,14,2,0,4,0,1,1,Low
11,10,3,0,10,1,1,0,Low
12,11,1,0,4,1,0,2,Low
13,13,2,0,2,0,1,1,Low
9,9,1,1,14,1,1,8,High
8,7,2,0,16,1,0,6,High
11,9,1,1,8,1,0,6,High
15,14,3,0,4,1,1,0,Low
15,14,2,0,4,0,1,1,Low
15,15,2,0,8,1,1,0,Low
12,12,2,0,0,1,1,0,Low
14,14,1,0,7,1,1,1,Low
14,15,1,0,4,1,1,1,Low
11,11,2,0,2,1,1,0,Low
13,14,3,0,2,1,1,0,Low
11,11,3,0,10,1,1,0,Low
10,9,2,0,10,0,1,3,Medium
12,10,3,0,10,1,1,0,Low
15,16,1,0,7,1,1,1,Low
11,10,2,0,4,0,1,1,Low
9,12,1,0,2,1,1,3,Medium
7,8,1,3,12,1,0,9,High
10,9,2,0,8,1,1,2,Low
11,12,1,0,0,1,1,1,Low
7,8,1,0,8,1,0,6,High
9,11,2,1,4,1,1,4,Medium
7,8,1,2,4,1,0,8,High
14,13,1,0,2,0,1,2,Low
12,12,1,0,0,1,1,1,Low
9,10,1,1,0,1,1,5,Medium
12,12,2,0,2,1,1,0,Low
14,15,4,0,2,1,1,0,Low
10,10,2,0,0,1,1,0,Low
11,10,2,1,4,1,0,3,Medium
11,12,3,0,2,1,1,0,Low
11,12,3,0,4,0,1,1,Low
11,11,2,0,4,0,1,1,Low
11,13,2,0,4,1,1,0,Low
16,16,2,0,2,1,1,0,Low
9,10,1,0,0,0,0,5,Medium
10,11,4,0,2,1,1,0,Low
10,12,2,0,8,1,0,1,Low
15,15,2,0,2,1,1,0,Low
10,10,2,0,2,1,1,0,Low
10,11,3,0,2,0,1,1,Low
15,12,3,0,2,0,1,1,Low
11,12,3,0,0,1,1,0,Low
8,8,1,0,8,1,0,6,High
15,16,2,0,6,1,1,0,Low
11,11,2,0,0,1,1,0,Low
10,11,2,0,8,1,1,0,Low
10,12,2,0,4,1,1,0,Low
8,9,2,0,12,1,0,6,High
11,12,2,0,16,1,1,1,Low
16,16,4,0,10,1,1,0,Low
13,13,2,0,2,0,1,1,Low
16,17,2,0,2,0,1,1,Low
14,14,2,0,8,1,1,0,Low
15,16,2,0,6,1,1,0,Low
12,12,2,0,6,1,1,0,Low
12,9,2,0,15,1,0,4,Medium
11,12,1,0,6,1,1,1,Low
14,12,2,1,2,1,1,2,Low
13,15,3,0,8,1,1,0,Low
9,8,2,1,0,1,0,7,High
10,10,1,0,0,1,1,1,Low
10,10,1,0,10,1,0,2,Low
11,11,1,0,22,1,1,2,Low
13,13,1,0,18,1,1,2,Low
17,17,4,0,2,0,1,1,Low
12,13,2,0,0,1,1,0,Low
12,12,2,0,12,1,1,1,Low
12,13,2,0,10,1,1,0,Low
12,12,2,0,0,1,1,0,Low
18,18,3,0,0,1,1,0,Low
13,13,3,0,0,1,1,0,Low
14,15,3,0,0,1,1,0,Low
17,17,2,0,0,1,1,0,Low
15,16,2,0,2,1,1,0,Low
17,18,3,0,0,1,1,0,Low
18,19,4,0,0,0,1,1,Low
14,15,3,0,0,1,1,0,Low
14,15,1,0,0,1,1,1,Low
14,13,2,0,2,1,1,0,Low
13,14,2,0,0,1,1,0,Low
16,17,4,0,0,1,1,0,Low
18,18,1,0,0,1,1,1,Low
14,15,2,0,0,1,1,0,Low
12,13,1,0,0,1,1,1,Low
7,7,3,0,0,1,1,4,Medium
16,16,3,0,0,1,1,0,Low
18,18,4,0,0,1,1,0,Low
9,10,3,1,0,1,1,4,Medium
14,15,1,2,0,0,1,4,Medium
10,10,2,0,0,0,1,1,Low
10,10,2,0,2,0,1,1,Low
12,12,2,0,2,1,1,0,Low
11,12,2,0,2,1,1,0,Low
15,16,1,0,2,1,1,1,Low
14,15,3,0,2,1,1,0,Low
12,12,1,0,8,1,1,1,Low
15,15,3,0,2,1,1,0,Low
11,12,2,0,8,1,1,0,Low
11,10,2,0,9,1,1,0,Low
12,11,2,0,0,1,1,0,Low
11,12,1,0,4,1,1,1,Low
14,15,1,0,2,1,1,1,Low
15,14,2,0,14,1,1,1,Low
12,12,2,0,0,1,1,0,Low
11,12,2,0,2,1,1,0,Low
8,9,1,0,2,1,1,5,Medium
10,10,3,0,12,0,0,3,Medium
8,8,2,2,2,1,1,6,High
10,10,1,0,2,1,1,1,Low
14,13,2,0,4,0,1,1,Low
11,11,3,0,0,1,1,0,Low
17,18,3,0,0,1,1,0,Low
14,14,3,0,0,1,1,0,Low
14,14,3,0,0,1,1,0,Low
13,14,3,0,0,1,1,0,Low
17,18,1,0,0,1,1,1,Low
11,10,1,0,2,1,1,1,Low
13,12,3,0,0,1,1,0,Low
15,14,3,0,4,1,1,0,Low
11,12,1,0,2,1,1,1,Low
11,11,4,0,0,1,1,0,Low
11,10,1,0,0,0,1,2,Low
10,9,2,0,2,0,1,3,Medium
15,15,3,0,0,1,1,0,Low
15,14,1,0,6,1,1,1,Low
10,11,2,0,8,1,1,0,Low
10,9,2,0,0,1,1,2,Low
14,13,4,0,6,0,1,1,Low
11,13,3,0,8,1,1,0,Low
12,13,2,0,0,1,1,0,Low
14,14,4,0,4,1,1,0,Low
14,14,2,0,0,1,1,0,Low
12,12,2,0,0,1,1,0,Low
16,16,2,0,6,1,1,0,Low
10,12,2,0,18,1,1,1,Low
11,12,3,0,0,1,1,0,Low
14,16,3,0,4,1,1,0,Low
15,14,3,0,4,1,1,0,Low
14,13,3,0,0,1,1,0,Low
11,12,3,0,0,1,1,0,Low
12,15,2,0,10,1,1,0,Low
12,16,2,0,4,1,1,0,Low
10,11,1,1,16,1,0,5,Medium
10,13,1,1,6,1,1,3,Medium
9,12,3,2,0,1,1,4,Medium
9,11,2,0,11,1,0,4,Medium
13,14,2,0,9,1,1,0,Low
13,17,2,0,0,1,1,0,Low
12,15,3,0,2,1,1,0,Low
14,17,2,0,0,1,1,0,Low
9,10,2,2,21,1,0,6,High
11,15,3,0,8,1,1,0,Low
9,10,1,1,5,1,1,5,Medium
16,18,2,0,10,1,1,0,Low
14,17,3,0,5,1,1,0,Low
13,14,1,0,13,1,1,2,Low
7,11,1,0,10,1,1,3,Medium
14,17,2,0,10,1,1,0,Low
8,10,1,1,5,1,1,5,Medium
10,13,2,0,4,1,1,0,Low
10,11,1,0,11,1,0,3,Medium
12,12,2,0,0,1,1,0,Low
10,10,1,1,6,0,1,4,Medium
10,10,1,0,4,1,1,1,Low
16,17,2,0,0,0,1,1,Low
6,8,1,0,0,0,0,7,High
10,11,2,0,5,0,1,1,Low
10,11,3,0,0,1,1,0,Low
10,10,2,1,0,0,1,3,Medium
6,6,1,1,0,1,0,8,High
13,14,1,0,0,1,1,1,Low
10,9,4,0,4,0,0,4,Medium
10,10,2,0,0,1,1,0,Low
6,7,1,1,4,1,1,7,High
12,11,1,0,0,0,1,2,Low
10,11,1,0,2,1,1,1,Low
14,16,1,0,0,1,1,1,Low
7,0,2,0,0,0,1,5,Medium
8,9,2,0,4,1,1,4,Medium
12,13,2,0,0,1,1,0,Low
7,9,2,0,7,1,1,4,Medium
9,10,2,0,4,0,1,3,Medium
7,9,2,0,8,0,1,5,Medium
11,11,2,0,0,1,1,0,Low
8,10,1,0,8,0,0,5,Medium
16,16,3,0,6,1,1,0,Low
11,13,1,0,3,0,1,2,Low
15,15,2,0,2,1,1,0,Low
10,11,2,0,0,0,1,1,Low
9,10,2,0,4,1,1,2,Low
10,8,3,1,0,0,1,5,Medium
9,8,3,1,3,0,1,7,High
9,10,2,0,0,1,1,2,Low
13,14,2,0,0,0,1,1,Low
10,11,1,0,4,1,1,1,Low
13,10,4,0,0,1,1,0,Low
10,9,3,0,2,0,1,3,Medium
11,10,2,0,1,1,1,0,Low
13,12,1,0,0,1,1,1,Low
13,14,2,0,0,0,1,1,Low
14,11,3,0,2,0,1,1,Low
11,11,1,0,6,0,1,2,Low
9,8,2,1,9,1,1,6,High
10,9,1,0,0,0,1,4,Medium
14,13,2,0,1,1,1,0,Low
13,12,1,0,1,0,1,2,Low
13,12,2,0,0,0,1,1,Low
13,12,2,0,4,1,1,0,Low
12,11,2,1,2,0,1,3,Medium
14,14,1,0,0,0,1,2,Low
10,8,1,0,4,1,1,3,Medium
10,11,1,0,2,1,1,1,Low
12,13,3,0,0,0,1,1,Low
10,8,1,0,2,1,1,3,Medium
12,10,1,0,11,1,1,2,Low
7,7,2,3,0,0,1,7,High
9,9,1,0,4,0,0,7,High
9,9,1,1,0,1,0,8,High
9,10,1,0,2,0,0,5,Medium
9,10,1,0,0,0,0,5,Medium
9,10,2,0,1,1,0,3,Medium
7,7,1,0,6,0,0,7,High
11,10,2,0,0,1,1,0,Low
9,10,1,1,1,1,1,5,Medium
7,9,3,2,6,0,0,8,High
7,9,3,1,6,0,0,8,High
8,9,1,1,0,1,0,8,High
9,11,1,1,4,1,0,6,High
7,8,2,1,12,1,1,7,High
8,10,2,0,2,0,1,3,Medium
9,9,1,0,5,0,1,6,High
8,9,2,0,0,1,0,5,Medium
14,13,1,0,0,1,0,2,Low
14,14,1,0,2,1,1,1,Low
10,11,4,1,0,0,1,3,Medium
14,13,2,0,0,1,1,0,Low
17,16,1,0,0,0,1,2,Low
6,7,1,1,12,1,0,9,High
14,12,1,0,8,1,1,1,Low
10,8,4,1,2,0,1,5,Medium
14,14,4,0,0,1,1,0,Low
12,13,3,0,0,1,1,0,Low
11,11,1,0,0,1,1,1,Low
11,9,2,1,8,1,1,4,Medium
11,11,3,0,0,0,1,1,Low
10,9,1,1,0,1,1,5,Medium
16,17,2,0,0,0,1,1,Low
15,17,2,0,0,0,1,1,Low
11,9,2,0,1,1,1,2,Low
7,7,2,1,9,1,1,6,High
8,6,1,0,0,1,1,5,Medium
7,6,1,0,2,1,1,5,Medium
9,8,2,0,8,0,1,5,Medium
14,16,2,0,0,1,1,0,Low
14,14,1,0,0,1,1,1,Low
8,5,2,1,8,1,1,6,High
8,7,2,0,0,1,1,4,Medium
6,8,2,0,6,1,1,4,Medium
8,10,2,0,0,1,1,2,Low
8,8,2,0,4,1,1,4,Medium
5,6,4,0,2,1,0,5,Medium
7,9,2,0,2,0,1,5,Medium
15,14,3,0,0,1,1,0,Low
13,14,1,0,1,1,1,1,Low
10,9,3,0,0,0,1,3,Medium
9,9,1,0,5,1,1,5,Medium
11,11,1,0,1,0,1,2,Low
7,10,1,0,8,1,1,3,Medium
10,10,2,0,0,1,1,0,Low
9,7,2,0,2,1,1,4,Medium
14,15,2,0,0,1,1,0,Low
11,12,1,0,0,1,1,1,Low
9,11,2,0,11,0,1,4,Medium
13,14,4,0,8,0,1,1,Low
12,13,1,0,11,1,1,2,Low
11,11,3,0,2,0,1,1,Low
9,10,2,0,8,1,1,2,Low
9,11,1,0,5,0,1,4,Medium
11,9,2,0,0,0,1,3,Medium
10,11,3,0,1,1,1,0,Low
9,9,1,3,2,1,1,7,High
12,11,1,0,2,0,1,2,Low
8,9,2,1,8,1,1,6,High
13,15,2,0,0,1,1,0,Low
10,11,1,0,0,1,1,1,Low
11,10,2,0,2,1,1,0,Low
17,18,2,0,0,1,1,0,Low
12,13,2,0,0,1,1,0,Low
13,14,2,0,0,1,1,0,Low
9,9,2,2,2,1,0,7,High
11,11,1,0,4,0,1,2,Low
10,11,1,0,3,1,0,2,Low
13,14,3,0,5,1,1,0,Low
9,10,1,0,4,0,1,4,Medium
7,9,2,3,2,1,1,6,High
8,13,1,0,0,0,0,5,Medium
12,12,1,1,0,0,1,4,Medium
10,9,1,0,0,1,1,3,Medium
10,9,2,0,6,0,1,3,Medium
11,13,2,0,0,0,1,1,Low
7,0,1,1,0,0,1,8,High
11,9,1,0,2,1,1,3,Medium
10,10,1,0,0,1,1,1,Low
9,7,1,1,2,1,0,8,High
4,0,1,1,0,1,0,8,High
6,11,1,3,4,0,1,6,High
4,8,2,2,9,1,0,7,High
7,8,1,0,6,1,1,5,Medium
8,9,1,3,4,1,0,8,High
5,5,2,2,8,0,1,7,High
7,9,1,0,9,0,1,6,High
8,11,1,1,12,1,0,7,High
10,11,1,0,8,1,1,1,Low
9,10,1,0,8,1,1,3,Medium
10,9,2,1,8,1,1,4,Medium
8,9,2,1,4,1,1,6,High
9,10,1,0,0,1,0,4,Medium
8,9,1,1,4,1,1,7,High
6,8,2,2,2,0,1,7,High
6,8,1,0,0,0,0,7,High
8,6,1,1,0,1,0,8,High
10,11,1,0,0,1,1,1,Low
8,7,3,0,5,0,0,6,High
8,8,2,0,0,1,1,4,Medium
7,6,2,1,3,1,1,6,High
8,10,1,0,0,0,1,4,Medium
7,10,1,0,0,1,1,3,Medium
7,8,2,2,3,0,1,7,High
12,13,2,0,2,1,1,0,Low
11,12,1,0,0,1,1,1,Low
12,13,2,0,0,1,1,0,Low
18,18,2,0,0,1,1,0,Low
17,17,1,0,3,1,1,1,Low
17,18,2,0,0,1,1,0,Low
9,0,2,1,0,0,1,7,High
10,11,1,0,8,0,1,2,Low
12,13,1,0,5,1,1,1,Low
12,13,1,0,4,0,0,3,Medium
8,8,2,0,4,1,1,4,Medium
11,12,3,0,0,1,1,0,Low
5,0,2,0,0,1,1,4,Medium
9,10,2,1,2,0,0,6,High
5,0,1,1,0,0,0,9,High
18,18,4,0,0,1,1,0,Low
11,11,2,0,5,1,1,0,Low
8,10,2,0,2,0,1,3,Medium
11,11,2,0,0,0,0,2,Low
8,0,2,3,0,0,0,8,High
14,14,3,0,5,1,1,0,Low
10,11,2,1,4,1,1,2,Low
10,10,2,0,0,0,1,1,Low
12,12,2,0,2,1,1,0,Low
15,14,2,0,0,0,1,1,Low
14,13,1,0,2,1,1,1,Low
19,17,3,0,0,1,1,0,Low
16,15,2,0,0,0,1,1,Low
13,12,2,0,6,1,1,0,Low
15,14,2,0,4,1,1,0,Low
13,13,2,0,0,0,1,1,Low
8,10,2,0,0,0,1,3,Medium
15,16,3,0,0,1,1,0,Low
8,8,1,1,0,1,1,7,High
10,10,1,0,0,1,1,1,Low
7,5,2,0,0,1,1,4,Medium
9,10,1,0,3,1,0,4,Medium
10,11,3,0,8,0,1,1,Low
7,8,1,0,4,1,1,5,Medium
15,17,3,0,0,1,1,0,Low
10,11,3,0,4,1,1,0,Low
7,8,2,1,4,1,1,6,High
13,14,2,0,1,1,1,0,Low
16,16,2,0,1,1,1,0,Low
8,9,2,0,10,1,1,4,Medium
17,18,2,0,4,1,1,0,Low
7,7,1,0,0,1,1,5,Medium
14,15,2,0,4,1,1,0,Low
5,8,1,1,0,0,1,8,High
7,7,1,1,0,0,1,8,High
14,17,3,0,0,0,1,1,Low
6,9,2,0,0,1,1,4,Medium
7,9,1,0,4,1,1,5,Medium
10,11,3,1,4,1,1,2,Low
15,15,2,0,4,1,1,0,Low
11,12,2,0,6,0,1,1,Low
10,10,1,0,6,1,1,1,Low
10,11,1,0,4,1,1,1,Low
